dist,n,trial,time_ms,comparisons,swaps,accesses
sorted,100000,2,3564,4999950000,99987,10000299948
sorted,100000,3,2129,4999950000,99985,10000299940
reverse,100,1,0,4950,94,10276
reverse,100,2,0,4950,92,10268
reverse,100,3,0,4950,92,10268
reverse,1000,1,3,499500,990,1002960
reverse,1000,2,1,499500,992,1002968
reverse,1000,3,0,499500,995,1002980
reverse,10000,1,39,49995000,9985,100029940
reverse,10000,2,35,49995000,9989,100029956
reverse,10000,3,26,49995000,9990,100029960
reverse,100000,1,3563,4999950000,99988,10000299952
reverse,100000,2,3553,4999950000,99990,10000299960
reverse,100000,3,2113,4999950000,99987,10000299948
nearly,100,1,0,4950,96,10284
nearly,100,2,0,4950,96,10284
nearly,100,3,0,4950,96,10284
nearly,1000,1,4,499500,994,1002976
nearly,1000,2,1,499500,992,1002968
nearly,1000,3,0,499500,991,1002964
nearly,10000,1,39,49995000,9988,100029952
nearly,10000,2,35,49995000,9986,100029944
nearly,10000,3,24,49995000,9987,100029948
random,100,1,0,4950,93,10272
random,100,2,0,4950,96,10284
random,100,3,0,4950,94,10276
random,1000,1,4,499500,992,1002968
random,1000,2,1,499500,993,1002972
random,1000,3,0,499500,991,1002964
random,10000,1,39,49995000,9991,100029964
random,10000,2,36,49995000,9985,100029940
random,10000,3,23,49995000,9992,100029968
random,100000,1,3569,4999950000,99986,10000299944
random,100000,2,3579,4999950000,99986,10000299944
random,100000,3,2116,4999950000,99991,10000299964
sorted,100,1,0,4950,95,10280
sorted,100,2,0,4950,96,10284
sorted,100,3,0,4950,96,10284
sorted,1000,1,4,499500,993,1002972
sorted,1000,2,1,499500,993,1002972
sorted,1000,3,0,499500,993,1002972
sorted,10000,1,39,49995000,9992,100029968
sorted,10000,2,37,49995000,9986,100029944
sorted,10000,3,33,49995000,9990,100029960
sorted,100000,1,3600,4999950000,99986,10000299944
sorted,100000,2,3581,4999950000,99988,10000299952
sorted,100000,3,2134,4999950000,99986,10000299944
reverse,100,1,0,4950,96,10284
reverse,100,2,0,4950,94,10276
reverse,100,3,0,4950,95,10280
reverse,1000,1,3,499500,993,1002972
reverse,1000,2,1,499500,992,1002968
reverse,1000,3,0,499500,984,1002936
reverse,10000,1,39,49995000,9991,100029964
reverse,10000,2,35,49995000,9987,100029948
reverse,10000,3,23,49995000,9985,100029940
reverse,100000,1,3596,4999950000,99994,10000299976
reverse,100000,2,3650,4999950000,99984,10000299936
reverse,100000,3,2122,4999950000,99991,10000299964
nearly,100,1,0,4950,98,10292
nearly,100,2,0,4950,96,10284
nearly,100,3,0,4950,92,10268
nearly,1000,1,3,499500,992,1002968
nearly,1000,2,0,499500,989,1002956
nearly,1000,3,0,499500,989,1002956
nearly,10000,1,39,49995000,9986,100029944
nearly,10000,2,36,49995000,9987,100029948
nearly,10000,3,30,49995000,9988,100029952
nearly,100000,1,3585,4999950000,99987,10000299948
nearly,100000,2,3609,4999950000,99992,10000299968
nearly,100000,3,2183,4999950000,99988,10000299952
